Keyword,Intent,Priority,SearchVolume,KeywordDifficulty,SourceNote,Status,DateAdded
airdoctor vs coway,Comparison,High,55,,"Verified in Google Keyword Planner (Jul 2026): 10-100/mo, High ad competition. Both phrasings (""airdoctor vs coway"" and ""coway vs air doctor"") searched.",Researched,2026-07-02
airdoctor vs coway airmega,Comparison,High,,,Model-specific variant of the above - not yet verified in GKP,Researched,2026-07-02
airdoctor 3500 vs coway airmega,Comparison,Medium,,,Price gap hook: AirDoctor 3500 retails ~$659 vs Coway ~$240 - not yet verified in GKP,Researched,2026-07-02
airdoctor vs jaspr,Comparison,High,55,,"Verified in GKP (Jul 2026): 10-100/mo, High ad competition, YoY change +infinity (brand new demand, was ~0 last year). Emerging trend - prioritize.",Researched,2026-07-02
airdoctor vs dyson,Comparison,Medium,55,,"Verified in GKP (Jul 2026): 10-100/mo, High ad competition, flat YoY.",Researched,2026-07-02
airdoctor vs iqair,Comparison,Medium,55,,"Verified in GKP (Jul 2026): 10-100/mo, High ad competition, flat YoY.",Researched,2026-07-02
airdoctor vs medify,Comparison,Low,,,Large-room/whole-home coverage battle - not yet verified in GKP,Researched,2026-07-02
airdoctor filter cost,Cost-of-ownership,Medium,5,,"Verified in GKP (Jul 2026): only 0-10/mo as standalone search. Low direct-search volume - fold into comparison posts as a section rather than standalone page. Downgraded from High.",Researched,2026-07-02
airdoctor vs coway filter cost,Cost-of-ownership,Low,,,Combines two high-intent angles into one query - not yet verified in GKP,Researched,2026-07-02
airdoctor 1000 vs 2000 vs 3500 vs 4000 vs 5500,Model-selection,Medium,5,,"Verified in GKP (Jul 2026): only 0-10/mo. Low direct-search volume - fold into a buying-guide section rather than standalone page. Downgraded from High.",Researched,2026-07-02
airdoctor smart vs standard,Model-selection,Medium,,,WiFi-enabled 'i' versions vs standard - live decision point,Researched,2026-07-02
airdoctor for wildfire smoke,Seasonal/Problem,High,,,Seasonal peak Aug-Oct; ties to CADR performance data,Researched,2026-07-02
airdoctor for allergies review,Seasonal/Problem,Medium,,,Seasonal peak Mar-May,Researched,2026-07-02
best air purifier for large room 2026,Broad/Competitive,Low,,,High competition; use as pillar post linking to comparisons,Researched,2026-07-02
airdoctor 5500 vs 5000,Model-selection,Medium,,,Naming confusion - 5500 positioned as successor to 5000,Researched,2026-07-02
airdoctor promo code,Transactional,High,,,"High commercial intent, low content competition",Researched,2026-07-02
